sep=;
# Datei;"Log_20251205_143048.csv"
# Kunde;""
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 14:30:50"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
1;21,11;21,29;-19,9;10,4;-4,8;32;2,23;0,0
5;21,47;21,41;-3,4;0,9;-1,2;29;4,73;0,0
10;21,43;21,42;-2,6;0,9;-0,9;30;5,32;0,0
16;21,41;21,43;-2,2;0,9;-0,6;28;5,06;0,0
20;21,40;21,43;-2,0;1,0;-0,5;29;4,39;0,0
25;21,41;21,45;-1,9;1,0;-0,4;28;3,84;0,0
