sep=;
# Datei;"Log_20260208_001508.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;""
# Notizen;""
# Startzeit;"2026-02-08 00:15:10"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
1;19,26;19,22;-1,1;-3,2;-2,2; 3;4,27;0,0
5;19,04;19,03;4,2;-6,4;-1,1; 3;5,59;0,0
10;19,01;18,99;4,8;-6,9;-1,1; 3;5,35;0,0
15;19,02;18,94;4,1;-7,0;-1,5; 3;4,47;0,0
20;19,02;18,96;2,6;-6,5;-1,9; 2;4,92;0,0
25;19,08;18,93;-8,2;-1,7;-4,9; 1;5,04;0,0
30;19,17;18,92;-14,6;3,5;-5,6; 2;4,65;0,0
35;19,20;18,98;-13,0;3,2;-4,9; 2;4,64;0,0
