sep=;
# Datei;"Log_20260216_202626.csv"
# Kunde;"Test"
# Objekt;"Hallo"
# Messstelle;"F1"
# Verglasungsart;"3-fach"
# Notizen;""
# Startzeit;"2026-02-16 20:26:28"
# Messintervall [s];10

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
4;14,77;6,47;28,8;33,5;31,1; 0;2,29;0,0
10;14,83;6,25;29,7;41,1;35,4; 0;2,42;0,0
22;14,81;6,23;29,1;41,0;35,0; 0;2,41;0,0
31;14,84;5,99;29,0;38,2;33,6; 0;2,24;0,0
41;14,83;6,33;29,0;36,2;32,6; 0;2,32;0,0
