sep=;
# Datei;"Log_20251204_034416.csv"
# Kunde;"Aller letzter Test"
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 03:44:18"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,00;19,27;-1,9;0,5;-0,7; 0;1,79;
10;18,97;19,21;-1,8;0,7;-0,6; 0;1,62;
15;18,92;19,10;-1,5;0,5;-0,5; 0;1,88;
20;18,90;19,05;-1,3;0,4;-0,5; 0;2,11;
26;18,88;19,01;-1,2;0,3;-0,5; 0;2,17;
31;18,85;18,99;-1,1;0,3;-0,4; 0;1,97;
