sep=;
# Datei;"Log_20260212_162800.csv"
# Kunde;"Beck"
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"3-fach"
# Notizen;"Regen"
# Startzeit;"2026-02-12 16:28:02"
# Messintervall [s];10

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
5;19,51;18,48;8,2;8,4;8,3;460;3,40;0,0
12;19,30;18,49;8,1;8,6;8,4;428;3,75;0,0
22;19,31;18,51;8,2;8,7;8,5;427;3,78;0,0
32;19,33;18,50;8,2;8,7;8,4;426;3,74;0,0
42;19,34;18,49;8,4;8,7;8,5;427;3,71;0,0
52;19,32;18,48;8,4;8,6;8,5;427;3,72;0,0
62;19,32;18,47;8,4;8,6;8,5;427;3,71;0,0
72;19,33;18,49;8,7;8,8;8,7;427;3,75;0,0
