sep=;
# Datei;"Log_20251205_035640.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 03:56:42"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;16,65;16,83;-0,5;0,5;-0,0; 2;0,15;
10;16,74;16,91;-0,5;0,4;-0,0; 2;0,08;
15;16,77;16,91;-0,5;0,4;-0,0; 2;0,30;
20;16,78;16,91;-0,5;0,3;-0,1; 2;0,71;
25;16,78;16,92;-0,5;0,3;-0,1; 2;0,78;
30;16,79;16,93;-0,5;0,3;-0,1; 2;0,54;
35;16,80;16,95;-0,5;0,3;-0,1; 2;0,44;
40;16,81;16,96;-0,5;0,3;-0,1; 2;0,44;
45;16,82;16,98;-0,5;0,4;-0,0; 2;0,27;
50;16,83;16,98;-0,4;0,4;-0,0; 2;0,18;
55;16,85;17,01;-0,4;0,4;-0,0; 2;0,13;
60;16,86;17,03;-0,4;0,4;-0,0; 2;0,11;
65;16,87;17,03;-0,4;0,4;-0,0; 2;0,18;
70;16,86;17,04;-0,4;0,3;-0,0; 2;0,22;
75;16,88;17,07;-0,5;0,3;-0,1; 2;0,36;
80;16,89;17,07;-0,5;0,3;-0,1; 2;0,34;
85;16,90;17,07;-0,5;0,3;-0,1; 2;0,35;
90;16,90;17,06;-0,5;0,3;-0,1; 2;0,59;
95;16,92;17,06;-0,4;0,3;-0,1; 2;0,52;
100;16,92;17,08;-0,4;0,3;-0,1; 2;0,40;
105;16,92;17,08;-0,5;0,3;-0,1; 2;0,47;
110;16,96;17,10;-0,5;0,3;-0,1; 2;0,52;
115;16,96;17,10;-0,4;0,3;-0,1; 2;0,56;
