sep=;
# Datei;"Log_20251204_221818.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;""
# Notizen;""
# Startzeit;"2025-12-04 22:18:20"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,73;18,76;-0,2;-0,3;-0,3; 1;3,62;
2;18,74;18,77;-0,2;-0,3;-0,3; 1;3,59;
4;18,75;18,78;-0,2;-0,3;-0,3; 1;3,68;
4;18,76;18,78;-0,2;-0,3;-0,3; 1;3,90;
5;18,75;18,77;-0,3;-0,3;-0,3; 1;4,19;
7;18,75;18,77;-0,3;-0,3;-0,3; 1;4,02;
7;18,76;18,76;-0,3;-0,3;-0,3; 1;5,19;
8;18,76;18,75;-0,3;-0,3;-0,3; 1;5,07;
9;18,76;18,76;-0,3;-0,3;-0,3; 1;5,29;
11;18,76;18,75;-0,2;-0,3;-0,3; 1;5,11;
12;18,76;18,74;-0,2;-0,3;-0,3; 1;4,47;
12;18,76;18,75;-0,3;-0,3;-0,3; 1;4,70;
13;18,76;18,74;-0,3;-0,3;-0,3; 1;4,27;
14;18,76;18,75;-0,3;-0,3;-0,3; 1;4,94;
16;18,76;18,75;-0,3;-0,3;-0,3; 1;4,88;
17;18,75;18,74;-0,3;-0,3;-0,3; 1;4,86;
17;18,76;18,75;-0,3;-0,3;-0,3; 1;4,50;
18;18,75;18,75;-0,3;-0,3;-0,3; 1;5,68;
19;18,75;18,77;-0,3;-0,3;-0,3; 1;4,32;
21;18,75;18,76;-0,3;-0,3;-0,3; 1;4,89;
22;18,75;18,76;-0,3;-0,3;-0,3; 1;4,34;
22;18,75;18,77;-0,3;-0,3;-0,3; 1;4,12;
24;18,75;18,77;-0,3;-0,3;-0,3; 1;4,06;
24;18,76;18,78;-0,2;-0,3;-0,3; 1;4,49;
26;18,76;18,78;-0,3;-0,3;-0,3; 1;3,97;
27;18,76;18,79;-0,3;-0,3;-0,3; 1;3,95;
27;18,77;18,78;-0,3;-0,3;-0,3; 1;4,71;
28;18,76;18,78;-0,3;-0,3;-0,3; 1;3,94;
30;18,76;18,78;-0,3;-0,3;-0,3; 1;4,09;
30;18,76;18,77;-0,3;-0,3;-0,3; 1;4,79;
32;18,76;18,78;-0,3;-0,3;-0,3; 1;4,67;
33;18,76;18,77;-0,3;-0,3;-0,3; 1;4,36;
33;18,75;18,76;-0,3;-0,3;-0,3; 1;5,21;
35;18,74;18,74;-0,3;-0,3;-0,3; 1;5,43;
35;18,75;18,76;-0,3;-0,3;-0,3; 1;4,75;
37;18,75;18,76;-0,3;-0,3;-0,3; 1;4,68;
38;18,75;18,76;-0,3;-0,3;-0,3; 1;4,82;
38;18,75;18,75;-0,3;-0,3;-0,3; 1;5,01;
