sep=;
# Datei;"Log_20251205_115511.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;""
# Notizen;""
# Startzeit;"2025-12-05 11:55:13"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;20,68;20,84;11,8;355,7;183,8;314;5,23;0,0
5;20,82;20,93;6,4;2,1;4,2;124;5,08;0,0
10;20,82;20,94;7,4;2,3;4,8;122;5,10;0,0
15;20,81;20,94;8,1;2,7;5,4;116;5,18;0,0
20;20,82;20,93;7,7;2,9;5,3;128;5,22;0,0
25;20,81;20,93;6,3;1,7;4,0;129;4,98;0,0
30;20,81;20,94;5,1;0,5;2,8;195;4,66;0,0
35;20,82;20,94;5,4;-0,9;2,2;361;4,45;0,0
40;20,83;20,94;4,7;0,6;2,6;366;4,68;0,0
45;20,82;20,94;9,2;6,9;8,0;152;5,05;0,0
50;20,94;21,05;239,5;112,9;176,2; 8;5,84;0,0
55;21,10;21,14;608,1;218,5;413,3; 7;5,88;0,0
60;21,43;21,19;2012,3;380,3;1196,3; 8;5,88;0,0
65;21,46;21,20;2608,5;352,2;1480,4;210;5,88;0,0
70;21,81;21,21;2678,7;325,8;1502,3;266;5,87;0,0
75;21,92;21,22;2024,5;292,6;1158,5;266;5,86;0,0
80;21,88;21,23;1293,4;264,9;779,1; 4;5,85;0,0
85;21,78;21,21;764,5;205,2;484,8; 5;5,84;0,0
90;21,67;21,17;432,3;139,7;286,0; 5;5,82;0,0
95;21,55;21,15;253,4;96,7;175,1; 5;5,80;0,0
100;21,47;21,13;157,5;72,5;115,0; 5;5,78;0,0
105;21,42;21,13;112,2;69,6;90,9;26;5,77;0,0
110;21,39;21,12;93,1;65,1;79,1;239;5,77;0,0
115;21,34;21,12;75,4;50,1;62,7;258;5,76;0,0
120;21,31;21,10;59,6;38,1;48,8;261;5,74;0,0
126;21,27;21,09;48,4;28,1;38,2;264;5,72;0,0
130;21,24;21,07;37,8;20,3;29,1;271;5,69;0,0
135;21,22;21,07;31,3;15,1;23,2;274;5,68;0,0
140;21,19;21,07;27,4;11,6;19,5;272;5,67;0,0
145;21,18;21,06;24,6;8,7;16,7;270;5,66;0,0
150;21,16;21,06;22,3;6,1;14,2;273;5,63;0,0
155;21,15;21,05;19,8;3,9;11,8;276;5,59;0,0
160;21,15;21,06;19,4;4,8;12,1;278;5,63;0,0
165;21,14;21,05;20,6;4,9;12,7;282;5,66;0,0
171;21,12;21,05;20,9;3,8;12,3;285;5,67;0,0
175;21,12;21,04;18,3;3,5;10,9;285;5,65;0,0
180;21,11;21,04;15,3;2,1;8,7;283;5,60;0,0
185;21,11;21,04;12,5;1,3;6,9;405;5,53;0,0
190;21,10;21,03;11,1;1,0;6,0;486;5,51;0,0
195;21,10;21,03;9,8;0,8;5,3;488;5,49;0,0
200;21,09;21,03;9,3;1,6;5,4;490;5,52;0,0
205;21,10;21,03;10,3;2,0;6,1;488;5,53;0,0
210;21,09;21,03;12,1;1,6;6,9;491;5,58;0,0
