sep=;
# Datei;"Log_20260216_204727.csv"
# Kunde;"Müller"
# Objekt;"Kreuzäckerstraße"
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2026-02-16 20:47:29"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
6;14,79;6,31;28,0;32,6;30,3; 0;2,22;0,0
7;15,09;6,24;30,1;39,2;34,6; 0;2,35;0,0
12;15,09;5,68;30,0;39,6;34,8; 0;2,15;0,0
17;15,09;6,15;29,8;40,6;35,2; 0;2,36;0,0
22;15,08;6,14;29,7;41,2;35,4; 0;2,37;0,0
27;15,09;6,15;30,0;41,5;35,7; 0;2,38;0,0
33;15,10;6,14;30,4;41,1;35,7; 0;2,38;0,0
37;15,10;6,09;30,4;40,4;35,4; 0;2,36;0,0
