sep=;
# Datei;"Log_20251205_042516.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 04:25:18"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,13;18,16;-0,3;-0,3;-0,3; 2;3,92;0,0
6;18,17;18,16;-0,3;-0,3;-0,3; 2;4,61;0,0
11;18,15;18,17;-0,3;-0,3;-0,3; 2;3,82;0,0
15;18,15;18,18;-0,3;-0,3;-0,3; 2;3,45;0,0
20;18,15;18,17;-0,3;-0,3;-0,3; 2;4,00;0,0
26;18,15;18,17;-0,3;-0,3;-0,3; 2;3,71;0,0
30;18,14;18,16;-0,3;-0,3;-0,3; 2;4,27;0,0
36;18,16;18,19;-0,3;-0,3;-0,3; 2;3,75;0,0
41;18,16;18,19;-0,3;-0,3;-0,3; 2;3,94;0,0
45;18,17;18,19;-0,3;-0,3;-0,3; 2;4,12;0,0
50;18,17;18,19;-0,3;-0,3;-0,3; 2;4,38;0,0
55;18,15;18,20;-0,3;-0,3;-0,3; 2;3,09;0,0
60;18,17;18,19;-0,3;-0,3;-0,3; 2;4,37;0,0
65;18,19;18,20;-0,3;-0,3;-0,3; 2;4,24;0,0
71;18,17;18,20;-0,3;-0,3;-0,3; 2;3,94;0,0
76;18,18;18,20;-0,3;-0,3;-0,3; 2;4,09;0,0
80;18,16;18,21;-0,3;-0,3;-0,3; 2;3,09;0,0
