sep=;
# Datei;"Log_20260129_153435.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2026-01-29 15:34:37"
# Messintervall [s];10

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
1;22,80;22,91;-0,1;-0,2;-0,2;70;1,35;0,0
11;22,77;22,79;-0,1;-0,4;-0,2;63;3,89;0,0
21;22,76;22,79;-0,1;-0,3;-0,2;70;3,17;0,0
31;22,76;22,79;-0,1;-0,3;-0,2;72;3,14;0,0
41;22,75;22,79;-0,1;-0,3;-0,2;72;3,21;0,0
