sep=;
# Datei;"Log_20251204_020112.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 02:01:14"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,21;18,65;-0,1;-0,1;-0,1; 0;0,24;
2;18,26;18,60;-0,1;-0,1;-0,1; 0;0,18;
3;18,24;18,59;-0,1;-0,0;-0,1; 0;0,15;
4;18,24;18,59;-0,1;-0,0;-0,0; 0;0,14;
5;18,26;18,59;-0,0;-0,1;-0,0; 0;0,14;
6;18,27;18,59;0,0;-0,1;-0,0; 0;0,12;
7;18,28;18,59;0,0;-0,1;-0,0; 0;0,11;
8;18,28;18,59;0,1;-0,1;-0,0; 0;0,12;
9;18,28;18,59;0,1;-0,2;-0,0; 0;0,13;
10;18,28;18,60;0,1;-0,2;-0,0; 0;0,14;
11;18,29;18,59;0,1;-0,2;-0,1; 0;0,16;
12;18,28;18,59;0,1;-0,2;-0,1; 0;0,18;
13;18,29;18,59;0,1;-0,2;-0,1; 0;0,21;
14;18,30;18,59;0,1;-0,2;-0,1; 0;0,24;
16;18,29;18,59;0,1;-0,2;-0,1; 0;0,28;
16;18,29;18,58;0,1;-0,3;-0,1; 0;0,31;
17;18,28;18,58;0,0;-0,3;-0,1; 0;0,35;
18;18,28;18,58;0,0;-0,3;-0,1; 0;0,39;
