sep=;
# Datei;"Log_20251204_010932.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 01:09:34"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,31;18,60;-0,2;-0,2;-0,2; 0;0,58;
2;18,36;18,65;-0,0;-0,3;-0,2; 0;0,50;
3;18,36;18,65;0,0;-0,3;-0,2; 0;0,49;
4;18,36;18,65;0,0;-0,4;-0,2; 0;0,51;
5;18,35;18,65;0,0;-0,4;-0,2; 0;0,51;
6;18,35;18,65;0,0;-0,4;-0,2; 0;0,51;
7;18,35;18,65;0,1;-0,4;-0,2; 0;0,51;
8;18,35;18,64;0,1;-0,4;-0,2; 0;0,52;
