sep=;
# Datei;"Log_20251204_020831.csv"
# Kunde;"Djkd"
# Objekt;"Dnkddb"
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;"Ndkdns"
# Startzeit;"2025-12-04 02:08:33"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,25;18,55;-0,1;-0,2;-0,2; 0;0,50;
10;18,31;18,56;0,1;-0,2;-0,1; 0;0,37;
15;18,31;18,56;0,0;-0,3;-0,1; 0;0,42;
20;18,33;18,57;0,1;-0,3;-0,1; 0;0,33;
25;18,35;18,58;0,2;-0,3;-0,1; 0;0,33;
30;18,34;18,57;0,1;-0,3;-0,1; 0;0,36;
35;18,31;18,57;0,1;-0,2;-0,1; 0;0,36;
41;18,31;18,57;0,0;-0,3;-0,1; 0;0,38;
46;18,29;18,57;-0,1;-0,2;-0,2; 0;0,58;
51;18,28;18,56;-0,2;-0,2;-0,2; 0;0,58;
55;18,27;18,55;-0,2;-0,2;-0,2; 0;0,54;
60;18,26;18,55;-0,2;-0,2;-0,2; 0;0,51;
65;18,25;18,56;-0,2;-0,2;-0,2; 0;0,64;
70;18,25;18,56;-0,3;-0,2;-0,2; 0;0,64;
75;18,26;18,56;-0,2;-0,2;-0,2; 0;0,54;
