sep=;
# Datei;"Log_20251204_105616.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;""
# Notizen;""
# Startzeit;"2025-12-04 10:56:17"
# Messintervall [s];10

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;14,70;15,23;0,7;0,5;0,6;169;0,91;
20;14,84;15,10;0,6;0,6;0,6;79;1,66;
30;14,90;15,12;0,5;0,5;0,5;79;1,62;
40;14,97;15,12;0,4;0,4;0,4;80;1,84;
51;15,03;15,14;0,4;0,3;0,3;81;1,96;
60;15,03;15,14;0,3;0,2;0,3;81;1,88;
70;15,07;15,14;0,3;0,2;0,2;82;2,15;
80;15,07;15,14;0,3;0,1;0,2;83;2,01;
90;15,05;15,13;0,3;0,1;0,2;84;1,62;
100;15,03;15,13;0,3;0,1;0,2;84;1,29;
110;15,08;15,14;0,2;0,0;0,1;84;1,78;
120;15,10;15,14;0,2;0,0;0,1;84;1,85;
130;15,11;15,14;0,2;-0,0;0,1;83;2,06;
140;15,14;15,14;0,2;-0,0;0,1;81;3,65;
150;15,18;15,15;0,1;-0,1;0,0;79;1,15;
160;15,18;15,15;0,1;-0,1;0,0;78;0,60;
170;15,17;15,14;0,1;-0,1;0,0;77;0,46;
180;15,19;15,15;0,1;-0,1;-0,0;76;0,16;
190;15,20;15,16;0,1;-0,1;-0,0;76;0,67;
200;15,21;15,16;0,0;-0,2;-0,1;75;0,98;
210;15,29;15,17;0,0;-0,2;-0,1;75;0,71;
221;15,34;15,18;-0,0;-0,2;-0,1;74;0,65;
230;15,34;15,18;-0,0;-0,2;-0,1;73;0,77;
240;15,33;15,19;-0,0;-0,3;-0,2;72;0,93;
250;15,31;15,18;-0,0;-0,3;-0,2;71;1,08;
260;15,32;15,18;-0,0;-0,3;-0,2;70;1,02;
270;15,32;15,18;-0,0;-0,3;-0,2;69;1,10;
280;15,32;15,19;-0,1;-0,3;-0,2;69;1,16;
290;15,31;15,18;-0,1;-0,3;-0,2;68;1,31;
300;15,33;15,18;-0,1;-0,3;-0,2;68;1,15;
311;15,37;15,20;-0,1;-0,3;-0,2;67;1,06;
320;15,36;15,20;-0,1;-0,4;-0,2;67;1,15;
330;15,34;15,20;-0,1;-0,4;-0,3;66;1,38;
340;15,34;15,19;-0,1;-0,4;-0,3;65;1,36;
350;15,34;15,20;-0,2;-0,4;-0,3;65;1,52;
360;15,33;15,19;-0,2;-0,4;-0,3;64;1,60;
370;15,31;15,19;-0,2;-0,4;-0,3;63;1,76;
380;15,30;15,19;-0,2;-0,4;-0,3;63;1,90;
390;15,32;15,19;-0,2;-0,4;-0,3;63;1,68;
400;15,38;15,20;-0,2;-0,4;-0,3;63;1,40;
410;15,34;15,21;-0,2;-0,4;-0,3;63;1,68;
420;15,30;15,20;-0,1;-0,4;-0,3;63;1,86;
430;15,31;15,20;-0,2;-0,4;-0,3;64;1,80;
440;15,35;15,20;-0,2;-0,4;-0,3;64;1,57;
450;15,37;15,21;-0,2;-0,5;-0,3;64;1,59;
460;15,41;15,22;-0,2;-0,5;-0,4;64;1,45;
470;15,41;15,22;-0,3;-0,5;-0,4;64;1,47;
480;15,41;15,22;-0,2;-0,5;-0,4;65;1,50;
490;15,43;15,22;-0,3;-0,5;-0,4;66;1,39;
500;15,44;15,23;-0,3;-0,5;-0,4;67;1,41;
510;15,46;15,24;-0,3;-0,5;-0,4;68;1,42;
520;15,42;15,23;-0,3;-0,5;-0,4;69;1,64;
530;15,42;15,23;-0,3;-0,6;-0,4;71;1,67;
540;15,44;15,24;-0,3;-0,6;-0,5;72;1,60;
550;15,52;15,25;-0,3;-0,6;-0,5;73;1,30;
560;15,46;15,24;-0,3;-0,6;-0,5;74;1,57;
570;15,43;15,23;-0,4;-0,6;-0,5;75;1,70;
580;15,44;14,64;-0,3;-0,6;-0,5;76;1,67;
591;15,43;15,24;-0,3;-0,6;-0,5;77;1,74;
601;15,45;15,24;-0,3;-0,6;-0,5;77;1,65;
610;15,44;15,24;-0,3;-0,6;-0,5;78;1,72;
620;15,46;15,24;-0,3;-0,6;-0,5;78;1,63;
630;15,49;15,25;-0,4;-0,6;-0,5;78;1,59;
640;15,49;15,26;-0,4;-0,6;-0,5;78;1,68;
650;15,51;15,26;-0,5;-0,7;-0,6;79;1,63;
660;15,55;15,28;-0,5;-0,7;-0,6;81;1,58;
670;15,55;15,29;-0,5;-0,7;-0,6;81;1,65;
680;15,59;15,30;-0,5;-0,8;-0,6;82;1,61;
690;15,59;15,30;-0,6;-0,8;-0,7;82;1,67;
700;15,62;15,32;-0,6;-0,8;-0,7;88;1,68;
710;15,93;15,44;-0,7;-0,9;-0,8;84;1,27;
720;15,85;15,41;-0,7;-1,0;-0,8;85;1,41;
730;15,76;15,37;-0,7;-1,0;-0,8;87;1,59;
740;15,71;15,36;-0,7;-1,0;-0,9;85;1,74;
750;15,67;15,34;-0,7;-1,0;-0,9;86;1,82;
760;15,64;15,34;-0,7;-1,0;-0,9;86;1,95;
770;15,61;15,33;-0,7;-1,0;-0,9;85;2,04;
781;15,64;15,34;-0,8;-1,0;-0,9;85;1,99;
790;15,66;15,34;-0,8;-1,1;-0,9;85;1,94;
800;15,68;15,35;-0,8;-1,1;-0,9;85;1,90;
810;15,66;15,35;-0,8;-1,1;-0,9;85;2,03;
820;15,64;15,35;-0,8;-1,1;-1,0;85;2,12;
830;15,67;15,35;-0,9;-1,1;-1,0;85;2,03;
840;15,68;15,36;-0,9;-1,1;-1,0;85;2,05;
850;15,77;15,37;-0,9;-1,1;-1,0;84;1,75;
860;15,83;15,39;-0,9;-1,1;-1,0;83;1,63;
870;15,76;15,38;-0,9;-1,1;-1,0;83;1,82;
880;15,75;14,77;-0,9;-1,2;-1,0;81;1,84;
890;15,76;15,40;-0,9;-1,2;-1,1;177;1,99;
900;15,95;15,46;-1,1;-1,2;-1,1;210;1,69;
910;15,77;15,37;-0,7;-1,2;-0,9;133;1,69;
921;15,79;15,37;-0,7;-1,1;-0,9;86;1,55;
930;15,79;15,39;-0,8;-1,1;-1,0;85;1,72;
940;15,74;15,38;-0,9;-1,1;-1,0;85;1,91;
