sep=;
# Datei;"Log_20260216_202417.csv"
# Kunde;"Test"
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"3-fach"
# Notizen;""
# Startzeit;"2026-02-16 20:24:19"
# Messintervall [s];10

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
4;14,75;6,63;31,7;29,7;30,7; 0;2,30;0,0
10;14,75;6,58;29,4;32,4;30,9; 0;2,30;0,0
21;14,79;6,58;30,0;31,7;30,9; 0;2,29;0,0
30;14,81;6,54;30,1;32,1;31,1; 0;2,29;0,0
41;14,82;6,49;29,6;32,9;31,3; 0;2,29;0,0
