sep=;
# Datei;"Log_20251205_042323.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 04:23:25"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,10;18,12;-0,3;-0,3;-0,3; 2;3,96;0,0
5;18,11;18,14;-0,3;-0,3;-0,3; 2;3,64;0,0
11;18,12;18,14;-0,3;-0,3;-0,3; 2;4,34;0,0
16;18,10;18,15;-0,3;-0,3;-0,3; 2;2,90;0,0
20;18,11;18,14;-0,3;-0,3;-0,3; 2;3,67;0,0
25;18,11;18,13;-0,3;-0,3;-0,3; 2;4,41;0,0
30;18,12;18,13;-0,3;-0,3;-0,3; 2;4,55;0,0
35;18,11;18,16;-0,3;-0,3;-0,3; 2;3,07;0,0
40;18,12;18,14;-0,3;-0,3;-0,3; 2;4,02;0,0
45;18,11;18,16;-0,3;-0,3;-0,3; 2;3,01;0,0
