sep=;
# Datei;"Log_20251204_032236.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 03:22:38"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,26;18,97;-0,1;0,2;0,0; 0;0,07;
2;18,29;18,99;-0,0;0,0;0,0; 0;0,01;
3;18,30;18,98;-0,0;0,0;0,0; 0;0,00;
4;18,31;18,98;-0,0;0,0;-0,0; 0;0,00;
5;18,31;18,98;-0,0;0,0;-0,0; 0;0,00;
6;18,30;18,97;-0,0;0,0;-0,0; 0;0,00;
7;18,30;18,97;-0,0;0,0;-0,0; 0;0,00;
8;18,30;18,97;-0,0;0,0;0,0; 0;0,01;
9;18,29;18,97;-0,0;0,0;0,0; 0;0,01;
10;18,29;18,97;-0,1;0,1;0,0; 0;0,00;
11;18,29;18,97;-0,1;0,1;0,0; 0;0,00;
12;18,29;18,97;-0,1;0,1;0,0; 0;0,00;
13;18,28;18,97;-0,1;0,1;-0,0; 0;0,00;
14;18,27;18,96;-0,1;0,1;-0,0; 0;0,00;
15;18,27;18,97;-0,1;0,1;-0,0; 0;0,01;
16;18,26;18,96;-0,1;0,1;-0,0; 0;0,01;
17;18,26;18,96;-0,1;0,1;-0,0; 0;0,00;
18;18,26;18,95;-0,1;0,2;0,0; 0;0,00;
20;18,26;18,94;-0,2;0,2;0,0; 0;0,00;
