sep=;
# Datei;"Log_20251205_143912.csv"
# Kunde;""
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 14:39:14"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;21,83;21,85;-1,0;0,8;-0,1;47;2,89;0,0
5;21,81;21,82;-0,7;0,5;-0,1;47;3,30;0,0
10;21,81;21,83;-0,7;0,5;-0,1;46;3,18;0,0
15;21,81;21,83;-0,8;0,5;-0,1;46;3,59;0,0
20;21,81;21,83;-0,8;0,5;-0,1;46;3,54;0,0
25;21,82;21,84;-0,8;0,5;-0,1;46;3,37;0,0
30;21,82;21,83;-0,8;0,5;-0,1;46;4,08;0,0
35;21,82;21,83;-0,7;0,5;-0,1;46;3,99;0,0
40;21,81;21,83;-0,7;0,4;-0,1;46;3,57;0,0
45;21,81;21,83;-0,7;0,4;-0,2;46;3,28;0,0
50;21,80;21,83;-0,7;0,4;-0,2;45;2,64;0,0
55;21,81;21,84;-0,7;0,4;-0,1;46;2,89;0,0
60;21,82;21,85;-0,8;0,5;-0,1;46;3,02;0,0
65;21,83;21,84;-0,8;0,5;-0,2;46;3,52;0,0
70;21,83;21,85;-0,8;0,5;-0,1;46;3,48;0,0
76;21,85;21,85;-0,9;0,6;-0,1;46;4,88;0,0
80;21,86;21,87;-0,9;0,6;-0,2;46;4,62;0,0
85;21,86;21,87;-0,9;0,5;-0,2;45;4,50;0,0
90;21,84;21,86;-0,8;0,5;-0,2;45;3,27;0,0
95;21,84;21,85;-0,7;0,4;-0,2;45;3,62;0,0
100;21,83;21,85;-0,7;0,4;-0,2;45;3,33;0,0
105;21,82;21,85;-0,6;0,3;-0,2;45;2,81;0,0
110;21,82;21,84;-0,6;0,3;-0,2;45;3,46;0,0
115;21,82;21,84;-0,6;0,3;-0,2;45;3,16;0,0
120;21,82;21,86;-0,6;0,6;-0,0;44;2,25;0,0
