sep=;
# Datei;"Log_20251204_001224.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 00:12:26"
# Messintervall [s];2

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,48;18,59;-0,2;-0,2;-0,2; 0;0,88;
4;18,50;18,66;-0,1;-0,2;-0,2; 0;0,86;
6;18,49;18,66;-0,1;-0,2;-0,2; 0;0,82;
8;18,49;18,66;-0,1;-0,2;-0,2; 0;0,84;
10;18,50;18,65;-0,1;-0,2;-0,2; 0;0,92;
12;18,50;18,65;-0,1;-0,2;-0,2; 0;1,00;
14;18,51;18,67;-0,1;-0,3;-0,2; 0;0,97;
16;18,50;18,67;-0,1;-0,3;-0,2; 0;0,96;
18;18,50;18,67;-0,1;-0,3;-0,2; 0;0,98;
20;18,50;18,66;-0,1;-0,3;-0,2; 0;1,01;
22;18,50;18,67;-0,1;-0,3;-0,2; 0;1,01;
24;18,50;18,67;-0,1;-0,3;-0,2; 0;1,00;
26;18,50;18,66;-0,1;-0,3;-0,2; 0;1,02;
28;18,50;18,65;-0,1;-0,2;-0,2; 0;1,02;
30;18,48;18,66;-0,2;-0,2;-0,2; 0;0,93;
32;18,48;18,65;-0,2;-0,2;-0,2; 0;1,03;
34;18,48;18,65;-0,2;-0,2;-0,2; 0;1,00;
36;18,47;18,65;-0,2;-0,2;-0,2; 0;0,91;
38;18,46;18,65;-0,2;-0,2;-0,2; 0;0,86;
40;18,47;18,65;-0,2;-0,2;-0,2; 0;0,81;
42;18,48;18,65;-0,2;-0,2;-0,2; 0;0,82;
44;18,47;18,64;-0,2;-0,2;-0,2; 0;0,81;
46;18,46;18,64;-0,2;-0,2;-0,2; 0;0,84;
48;18,46;18,64;-0,2;-0,2;-0,2; 0;0,92;
50;18,46;18,65;-0,2;-0,2;-0,2; 0;0,90;
