sep=;
# Datei;"Log_20251203_214443.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-03 21:44:43"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,01;19,04;-0,2;-0,3;-0,3; 1;-7,64;
2;18,97;19,04;-0,3;-0,3;-0,3; 1;-4,17;
3;18,97;19,03;-0,3;-0,3;-0,3; 1;-4,48;
4;18,99;19,03;-0,3;-0,3;-0,3; 1;-7,72;
5;18,98;19,03;-0,3;-0,3;-0,3; 1;-6,07;
6;18,99;19,03;-0,3;-0,3;-0,3; 1;-7,34;
7;18,98;19,03;-0,3;-0,3;-0,3; 1;-5,95;
8;18,99;19,04;-0,3;-0,3;-0,3; 1;-6,30;
9;18,96;19,04;-0,4;-0,2;-0,3; 1;-4,14;
10;18,95;19,03;-0,4;-0,2;-0,3; 1;-3,78;
11;18,95;19,02;-0,4;-0,2;-0,3; 1;-4,17;
12;18,96;19,02;-0,4;-0,2;-0,3; 1;-4,72;
13;18,95;19,02;-0,3;-0,2;-0,3; 1;-4,12;
14;18,96;19,01;-0,3;-0,3;-0,3; 1;-5,59;
15;18,98;19,02;-0,3;-0,3;-0,3; 1;-6,82;
16;18,98;19,02;-0,3;-0,3;-0,3; 1;-6,25;
17;18,98;19,02;-0,3;-0,3;-0,3; 1;-7,02;
18;18,98;19,02;-0,3;-0,3;-0,3; 1;-6,69;
19;18,99;19,04;-0,2;-0,3;-0,3; 1;-5,68;
20;18,99;19,03;-0,2;-0,3;-0,3; 1;-6,24;
21;18,99;19,03;-0,2;-0,3;-0,3; 1;-5,76;
23;18,96;19,03;-0,2;-0,3;-0,3; 1;-3,86;
23;18,98;19,02;-0,2;-0,3;-0,3; 1;-5,46;
24;18,98;19,02;-0,2;-0,3;-0,3; 1;-6,70;
25;18,98;19,03;-0,2;-0,3;-0,3; 1;-5,24;
26;18,98;19,02;-0,2;-0,3;-0,3; 1;-6,52;
27;18,98;19,02;-0,2;-0,3;-0,3; 1;-7,06;
28;18,98;19,02;-0,2;-0,3;-0,3; 1;-5,77;
29;18,99;19,01;-0,2;-0,3;-0,3; 1;-12,34;
30;19,00;19,01;-0,2;-0,3;-0,3; 1;0,00;
31;19,00;19,02;-0,2;-0,3;-0,3; 1;-18,59;
32;19,00;19,02;-0,2;-0,3;-0,3; 1;-13,93;
33;18,99;19,03;-0,2;-0,3;-0,3; 1;-7,29;
34;18,98;19,03;-0,2;-0,3;-0,3; 1;-5,67;
35;18,98;19,03;-0,2;-0,3;-0,3; 1;-5,60;
36;18,99;19,02;-0,2;-0,3;-0,3; 1;-9,18;
37;18,98;19,02;-0,2;-0,3;-0,3; 1;-8,73;
39;18,98;19,02;-0,2;-0,3;-0,3; 1;-6,45;
39;18,97;19,02;-0,2;-0,3;-0,3; 1;-5,04;
40;18,98;19,02;-0,2;-0,3;-0,3; 1;-6,62;
41;18,97;19,03;-0,2;-0,3;-0,3; 1;-4,98;
42;18,98;19,03;-0,2;-0,3;-0,3; 1;-5,76;
43;19,00;19,03;-0,2;-0,3;-0,3; 1;-8,02;
44;19,01;19,03;-0,2;-0,3;-0,3; 1;-10,71;
45;19,00;19,02;-0,2;-0,3;-0,3; 1;-12,75;
46;18,99;19,02;-0,2;-0,3;-0,3; 1;-8,86;
47;18,99;19,03;-0,2;-0,3;-0,3; 1;-6,76;
48;18,99;19,02;-0,2;-0,3;-0,3; 1;-7,33;
49;19,00;19,02;-0,2;-0,3;-0,3; 1;-11,78;
50;19,00;19,02;-0,2;-0,3;-0,3; 1;-12,15;
51;18,99;19,03;-0,2;-0,3;-0,3; 1;-7,03;
52;19,00;19,02;-0,2;-0,3;-0,3; 1;-11,31;
53;19,00;19,02;-0,2;-0,3;-0,3; 1;-13,44;
54;18,98;19,02;-0,2;-0,3;-0,3; 1;-6,79;
