sep=;
# Datei;"Log_20260130_222228.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2026-01-30 22:22:29"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
3;24,49;23,59;28,3;12,4;20,3; 8;3,47;0,0
6;24,10;23,86;-4,0;4,7;0,4; 7;1,13;0,0
11;24,08;23,86;-4,7;4,0;-0,3; 7;1,06;0,0
16;24,08;23,85;-5,2;3,3;-1,0; 7;2,44;0,0
21;24,07;23,84;-5,6;2,9;-1,3; 7;2,91;0,0
26;24,07;23,84;-5,9;3,0;-1,5; 7;3,09;0,0
31;24,06;23,86;-6,0;3,2;-1,4;11;3,21;0,0
36;24,04;23,84;-6,0;3,2;-1,4;34;3,19;0,0
41;24,00;23,84;-6,2;3,3;-1,5;27;3,55;0,0
46;23,97;23,83;-6,3;3,3;-1,5;36;3,77;0,0
51;23,97;23,81;-6,5;3,3;-1,6;35;3,65;0,0
56;23,96;23,81;-6,7;3,3;-1,7;34;3,85;0,0
62;23,94;23,81;-6,5;3,2;-1,7;35;4,00;0,0
66;23,91;23,81;-6,7;3,0;-1,9;34;4,48;0,0
71;23,90;23,84;-6,8;3,0;-1,9;34;5,04;0,0
76;23,89;23,83;-6,7;3,1;-1,8;34;4,98;0,0
81;23,89;23,83;-6,3;3,1;-1,6;33;4,92;0,0
86;23,87;23,83;-6,4;3,2;-1,6;33;5,06;0,0
91;23,86;23,83;-6,5;3,2;-1,6;35;5,30;0,0
96;23,86;23,82;-6,2;3,2;-1,5;35;5,02;0,0
101;23,86;23,80;-6,2;3,2;-1,5;35;4,84;0,0
106;23,85;23,80;-3,7;3,4;-0,1;27;4,55;0,0
111;23,81;23,78;6,5;3,4;5,0;25;5,69;0,0
117;23,78;23,75;10,4;2,8;6,6;25;5,74;0,0
122;23,75;23,71;9,8;1,9;5,8;26;5,65;0,0
126;23,73;23,69;7,8;1,2;4,5;26;5,58;0,0
131;23,71;23,66;5,5;1,0;3,2;25;5,34;0,0
136;23,71;23,65;4,0;0,9;2,4;22;5,09;0,0
141;23,71;23,66;3,5;0,8;2,1;20;5,22;0,0
146;23,70;23,69;2,3;1,1;1,7;23;5,63;0,0
151;23,68;23,69;1,0;1,3;1,1;25;5,75;0,0
156;23,66;23,67;1,6;1,2;1,4;21;5,65;0,0
161;23,59;23,67;2,9;-0,3;1,3;19;4,04;0,0
166;23,54;23,66;3,2;-2,9;0,2;18;1,20;0,0
171;23,52;23,64;3,4;-4,2;-0,4;18;1,97;0,0
176;23,47;23,62;2,8;-4,8;-1,0;18;3,15;0,0
181;23,43;23,61;2,1;-5,1;-1,5;18;3,44;0,0
186;23,40;23,60;1,7;-5,2;-1,7;18;3,47;0,0
191;23,39;23,60;0,9;-5,2;-2,1;18;3,72;0,0
196;23,37;23,60;0,1;-5,1;-2,5;18;3,84;0,0
201;23,36;23,58;-0,3;-5,1;-2,7;18;3,93;0,0
206;23,35;23,59;-0,3;-4,9;-2,6;18;3,82;0,0
211;23,32;23,58;-0,7;-4,7;-2,7;18;3,75;0,0
216;23,31;23,58;-1,0;-4,5;-2,7;18;3,71;0,0
221;23,32;23,57;-1,3;-4,3;-2,8;18;3,83;0,0
226;23,32;23,56;-1,7;-4,2;-3,0;18;3,94;0,0
231;23,32;23,56;-2,1;-4,3;-3,2;18;4,08;0,0
236;23,31;23,54;-2,6;-4,4;-3,5;18;4,23;0,0
241;23,30;23,54;-3,0;-4,5;-3,8;18;4,28;0,0
246;23,29;23,54;-3,2;-4,5;-3,8;18;4,26;0,0
251;23,28;23,54;-3,2;-4,5;-3,8;18;4,25;0,0
256;23,28;23,53;-3,3;-4,5;-3,9;18;4,23;0,0
261;23,28;23,54;-3,5;-4,4;-4,0;18;4,26;0,0
266;23,27;23,53;-3,6;-4,3;-3,9;18;4,22;0,0
271;23,26;23,52;-3,5;-4,3;-3,9;18;4,21;0,0
276;23,26;23,52;-3,4;-4,3;-3,9;17;4,19;0,0
281;23,24;23,55;-3,6;-4,0;-3,8;16;3,97;0,0
286;23,23;23,56;-4,1;-3,3;-3,7;16;3,89;0,0
291;23,25;23,55;-4,9;-3,1;-4,0;16;4,08;0,0
296;23,25;23,54;-5,5;-3,1;-4,3;16;4,20;0,0
301;23,24;23,53;-5,6;-3,2;-4,4;16;4,23;0,0
306;23,26;23,53;-5,4;-2,1;-3,7;16;4,11;0,0
311;23,26;23,53;-5,3;0,3;-2,5;16;3,55;0,0
316;23,26;23,53;-5,2;1,6;-1,8;15;3,17;0,0
321;23,26;23,51;-5,2;1,7;-1,7;16;3,19;0,0
326;23,26;23,50;-5,2;5,0;-0,1;17;1,88;0,0
331;23,26;23,51;-5,0;11,2;3,1;20;3,90;0,0
336;23,26;23,53;-4,8;16,2;5,7;18;4,61;0,0
341;23,26;23,53;-4,6;19,2;7,3; 8;4,81;0,0
346;23,26;23,54;-4,5;20,8;8,1; 9;4,88;0,0
351;23,26;23,56;-4,7;21,5;8,4; 9;4,86;0,0
356;23,26;23,57;-4,8;21,8;8,5;17;4,84;0,0
361;23,26;23,59;-4,8;22,0;8,6;17;4,82;0,0
366;23,25;23,59;-4,5;22,1;8,8;17;4,78;0,0
371;23,25;23,61;-4,3;22,2;9,0;15;4,77;0,0
377;23,27;23,62;-4,3;22,1;8,9; 7;4,77;0,0
382;23,44;23,63;-2,2;22,2;10,0; 1;5,29;0,0
386;23,57;23,64;-9,5;22,1;6,3; 1;5,53;0,0
391;23,77;23,69;-33,7;21,0;-6,3; 1;5,45;0,0
396;24,53;23,87;-23,4;17,0;-3,2; 1;2,57;0,0
401;25,92;24,59;-0,9;50,3;24,7; 1;4,47;0,0
406;27,06;24,80;-26,8;26,3;-0,3; 1;2,47;0,0
411;26,06;25,14;-45,1;3,0;-21,0; 1;4,68;0,0
416;25,39;25,04;-48,2;14,6;-16,8; 1;5,26;0,0
421;24,81;24,83;-65,9;35,3;-15,3; 1;5,73;0,0
426;24,44;24,65;-73,0;39,1;-17,0; 1;5,49;0,0
431;24,24;24,54;-69,3;39,7;-14,8; 1;5,25;0,0
436;24,12;24,45;-61,8;37,1;-12,3; 2;5,08;0,0
