sep=;
# Datei;"Log_20251204_201737.csv"
# Kunde;"Hallo"
# Objekt;"Ich"
# Messstelle;"F1"
# Verglasungsart;"3-fach"
# Notizen;"Bin"
# Startzeit;"2025-12-04 20:17:39"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,37;18,40;-0,2;-0,3;-0,3; 1;3,59;
10;18,34;18,38;-0,2;-0,3;-0,3; 1;3,17;
15;18,34;18,38;-0,2;-0,3;-0,3; 1;3,08;
20;18,35;18,38;-0,2;-0,3;-0,3; 1;3,53;
