sep=;
# Datei;"Log_20251205_030549.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 03:05:51"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,39;19,41;-0,2;-0,3;-0,3; 2;3,84;
2;19,44;19,43;-0,2;-0,3;-0,3; 2;5,12;
3;19,40;19,42;-0,2;-0,3;-0,3; 2;4,10;
4;19,40;19,44;-0,2;-0,3;-0,3; 2;3,14;
5;19,40;19,44;-0,2;-0,3;-0,3; 2;3,23;
6;19,41;19,44;-0,2;-0,3;-0,3; 2;3,85;
7;19,41;19,45;-0,2;-0,3;-0,3; 2;3,16;
8;19,42;19,45;-0,2;-0,3;-0,3; 2;3,48;
9;19,42;19,45;-0,2;-0,3;-0,3; 2;3,55;
10;19,41;19,44;-0,2;-0,3;-0,3; 2;3,56;
11;19,39;19,44;-0,2;-0,3;-0,3; 2;2,91;
12;19,39;19,45;-0,2;-0,3;-0,3; 2;2,46;
13;19,38;19,45;-0,2;-0,3;-0,3; 2;2,48;
14;19,40;19,44;-0,2;-0,3;-0,3; 2;2,84;
