sep=;
# Datei;"Log_20251204_034154.csv"
# Kunde;"Aller letzter Test"
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 03:41:56"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
1;18,27;19,06;-0,1;0,6;0,2; 1;0,29;
11;18,29;19,06;-0,0;0,5;0,2; 1;0,31;
16;18,28;19,05;-0,0;0,5;0,3; 1;0,33;
21;18,29;19,03;0,0;0,6;0,3; 1;0,38;
26;18,42;19,13;0,0;0,6;0,3; 0;0,38;
30;18,99;19,48;0,2;0,9;0,5; 0;0,96;
36;19,66;19,79;-2,1;5,7;1,8; 0;4,09;
41;20,15;20,10;-0,4;6,7;3,1; 0;5,01;
46;20,52;20,30;2,5;6,1;4,3; 0;4,52;
51;20,35;20,20;2,7;4,4;3,5; 0;4,77;
55;20,17;20,12;2,2;2,8;2,5; 0;5,31;
61;20,08;20,10;1,6;1,8;1,7; 0;5,52;
66;20,00;20,07;1,1;1,2;1,2; 0;4,29;
71;19,92;20,04;0,8;0,8;0,8; 0;3,16;
75;19,86;20,02;0,6;0,7;0,6; 0;2,28;
81;19,82;20,01;0,5;0,5;0,5; 0;1,88;
86;19,81;20,01;0,5;0,5;0,5; 0;1,71;
90;20,10;20,13;0,6;1,2;0,9; 1;4,42;
96;20,28;20,23;0,6;1,7;1,2; 0;4,81;
101;19,97;19,98;0,0;1,2;0,6; 0;4,82;
106;19,68;19,78;-1,3;1,2;-0,0; 0;1,07;
111;19,49;19,65;-2,2;1,2;-0,5; 0;1,95;
116;19,34;19,54;-2,4;1,0;-0,7; 0;2,21;
121;19,23;19,46;-2,4;0,8;-0,8; 0;2,17;
126;19,14;19,40;-2,3;0,7;-0,8; 0;2,01;
131;19,06;19,34;-2,0;0,5;-0,8; 0;1,86;
