sep=;
# Datei;"Log_20251204_202957.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;""
# Notizen;""
# Startzeit;"2025-12-04 20:29:59"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,88;18,77;-0,2;-0,6;-0,4; 1;2,17;
2;18,88;18,79;-0,2;-0,6;-0,4; 1;2,39;
3;18,87;18,80;-0,2;-0,6;-0,4; 1;2,91;
4;18,86;18,80;-0,2;-0,6;-0,4; 1;3,00;
5;18,87;18,79;-0,2;-0,6;-0,4; 1;2,66;
6;18,87;18,79;-0,2;-0,6;-0,4; 1;2,63;
7;18,86;18,79;-0,2;-0,6;-0,4; 1;2,70;
8;18,86;18,79;-0,2;-0,6;-0,4; 1;2,74;
9;18,86;18,78;-0,2;-0,6;-0,4; 1;2,55;
10;18,87;18,79;-0,2;-0,6;-0,4; 1;2,47;
11;18,88;18,79;-0,2;-0,6;-0,4; 1;2,44;
12;18,86;18,78;-0,2;-0,6;-0,4; 1;2,53;
13;18,85;18,79;-0,2;-0,6;-0,4; 1;2,94;
14;18,85;18,79;-0,2;-0,6;-0,4; 1;3,09;
15;18,85;18,78;-0,2;-0,6;-0,4; 1;2,87;
17;18,84;18,78;-0,2;-0,6;-0,4; 1;2,93;
17;18,85;18,77;-0,2;-0,6;-0,4; 1;2,58;
18;18,84;18,77;-0,2;-0,6;-0,4; 1;2,97;
19;18,83;18,79;-0,2;-0,6;-0,4; 1;3,34;
20;18,83;18,78;-0,2;-0,6;-0,4; 1;3,39;
21;18,82;18,78;-0,2;-0,6;-0,4; 1;3,53;
22;18,83;18,78;-0,2;-0,6;-0,4; 1;3,20;
23;18,83;18,79;-0,2;-0,6;-0,4; 1;3,69;
24;18,83;18,81;-0,2;-0,6;-0,4; 1;4,44;
25;18,82;18,80;-0,2;-0,6;-0,4; 1;4,46;
26;18,83;18,78;-0,2;-0,5;-0,4; 1;3,21;
27;18,82;18,79;-0,2;-0,5;-0,4; 1;3,71;
28;18,81;18,79;-0,2;-0,5;-0,4; 1;4,32;
29;18,82;18,79;-0,2;-0,5;-0,4; 1;3,71;
30;18,84;18,80;-0,2;-0,6;-0,4; 1;3,67;
31;18,83;18,80;-0,2;-0,6;-0,4; 1;3,89;
32;18,82;18,79;-0,2;-0,6;-0,4; 1;3,74;
33;18,83;18,79;-0,2;-0,5;-0,4; 1;3,65;
34;18,83;18,79;-0,2;-0,5;-0,4; 1;3,37;
35;18,83;18,77;-0,2;-0,5;-0,4; 1;3,03;
36;18,83;18,77;-0,2;-0,5;-0,4; 1;2,94;
38;18,83;18,76;-0,2;-0,5;-0,4; 1;2,94;
38;18,83;18,76;-0,2;-0,5;-0,4; 1;2,66;
39;18,83;18,75;-0,2;-0,5;-0,3; 1;2,58;
40;18,82;18,76;-0,2;-0,5;-0,3; 1;2,78;
41;18,83;18,76;-0,2;-0,5;-0,3; 1;2,66;
42;18,82;18,75;-0,2;-0,5;-0,3; 1;2,80;
43;18,81;18,75;-0,1;-0,5;-0,3; 1;2,68;
44;18,81;18,75;-0,1;-0,5;-0,3; 1;2,92;
45;18,81;18,75;-0,1;-0,5;-0,3; 1;2,78;
46;18,81;18,74;-0,1;-0,5;-0,3; 1;2,46;
47;18,81;18,73;-0,1;-0,5;-0,3; 1;2,28;
48;18,81;18,73;-0,1;-0,5;-0,3; 1;2,28;
49;18,81;18,73;-0,1;-0,5;-0,3; 1;2,30;
50;18,79;18,72;-0,1;-0,5;-0,3; 1;2,49;
52;18,78;18,71;-0,1;-0,5;-0,3; 1;2,44;
52;18,77;18,70;-0,1;-0,5;-0,3; 1;2,54;
53;18,77;18,72;-0,1;-0,5;-0,3; 1;2,80;
54;18,78;18,71;-0,1;-0,5;-0,3; 1;2,46;
55;18,78;18,71;-0,1;-0,5;-0,3; 1;2,43;
56;18,78;18,71;-0,1;-0,5;-0,3; 1;2,33;
57;18,78;18,71;-0,1;-0,5;-0,3; 1;2,46;
58;18,78;18,70;-0,1;-0,5;-0,3; 1;2,24;
59;18,76;18,71;-0,1;-0,5;-0,3; 1;2,91;
60;18,76;18,71;-0,1;-0,5;-0,3; 1;2,72;
61;18,78;18,71;-0,1;-0,5;-0,3; 1;2,48;
62;18,78;18,69;-0,1;-0,5;-0,3; 1;2,16;
63;18,77;18,68;-0,1;-0,5;-0,3; 1;2,12;
64;18,76;18,68;-0,1;-0,5;-0,3; 1;2,22;
65;18,77;18,68;-0,1;-0,5;-0,3; 1;2,22;
67;18,77;18,69;-0,1;-0,5;-0,3; 1;2,33;
67;18,76;18,67;-0,1;-0,5;-0,3; 1;2,12;
68;18,75;18,66;-0,1;-0,5;-0,3; 1;2,14;
69;18,74;18,67;-0,1;-0,5;-0,3; 1;2,32;
70;18,76;18,67;-0,1;-0,5;-0,3; 1;2,26;
71;18,76;18,67;-0,1;-0,5;-0,3; 1;2,25;
72;18,75;18,68;-0,1;-0,5;-0,3; 1;2,64;
73;18,75;18,69;-0,1;-0,5;-0,3; 1;2,85;
74;18,75;18,69;-0,1;-0,5;-0,3; 1;2,91;
75;18,75;18,68;-0,1;-0,5;-0,3; 1;2,66;
76;18,76;18,69;-0,2;-0,5;-0,3; 1;2,75;
77;18,77;18,70;-0,2;-0,5;-0,3; 1;2,53;
78;18,77;18,70;-0,2;-0,5;-0,3; 1;2,57;
79;18,76;18,70;-0,2;-0,5;-0,3; 1;2,97;
80;18,76;18,70;-0,2;-0,5;-0,3; 1;2,95;
82;18,76;18,69;-0,2;-0,5;-0,3; 1;2,82;
82;18,75;18,68;-0,2;-0,5;-0,3; 1;2,77;
83;18,75;18,68;-0,2;-0,5;-0,3; 1;2,69;
84;18,75;18,70;-0,2;-0,5;-0,3; 1;3,40;
85;18,74;18,69;-0,2;-0,5;-0,3; 1;2,94;
86;18,74;18,68;-0,2;-0,5;-0,3; 1;3,13;
87;18,73;18,68;-0,2;-0,5;-0,3; 1;3,38;
88;18,73;18,70;-0,2;-0,5;-0,3; 1;3,84;
89;18,76;18,68;-0,2;-0,5;-0,3; 1;2,57;
90;18,76;18,70;-0,2;-0,5;-0,3; 1;2,87;
91;18,75;18,69;-0,2;-0,5;-0,3; 1;2,78;
92;18,74;18,68;-0,2;-0,5;-0,3; 1;2,93;
93;18,74;18,69;-0,2;-0,5;-0,3; 1;3,12;
94;18,72;18,69;-0,2;-0,5;-0,3; 1;3,65;
95;18,73;18,69;-0,2;-0,5;-0,3; 1;3,44;
96;18,73;18,69;-0,2;-0,5;-0,3; 1;3,37;
97;18,72;18,68;-0,2;-0,5;-0,3; 1;3,32;
98;18,73;18,66;-0,2;-0,5;-0,3; 1;2,66;
99;18,75;18,68;-0,2;-0,5;-0,3; 1;2,53;
100;18,75;18,67;-0,2;-0,5;-0,3; 1;2,34;
101;18,76;18,67;-0,2;-0,5;-0,3; 1;2,25;
102;18,73;18,67;-0,2;-0,5;-0,3; 1;2,78;
103;18,73;18,67;-0,2;-0,5;-0,3; 1;2,85;
104;18,73;18,68;-0,2;-0,5;-0,3; 1;2,93;
105;18,72;18,67;-0,2;-0,5;-0,3; 1;3,15;
