sep=;
# Datei;"Log_20251204_022916.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 02:29:18"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,12;18,50;-0,1;-0,2;-0,2; 0;0,60;
2;18,29;18,53;-0,1;-0,2;-0,2; 0;0,60;
3;18,29;18,52;-0,1;-0,2;-0,2; 0;0,58;
5;18,29;18,53;-0,1;-0,2;-0,1; 0;0,54;
5;18,29;18,53;-0,0;-0,2;-0,1; 0;0,53;
6;18,29;18,53;-0,0;-0,2;-0,1; 0;0,53;
7;18,29;18,52;-0,0;-0,2;-0,1; 0;0,54;
8;18,29;18,53;-0,1;-0,2;-0,1; 0;0,54;
9;18,28;18,52;-0,1;-0,2;-0,1; 0;0,52;
10;18,28;18,52;-0,1;-0,2;-0,1; 0;0,52;
11;18,27;18,52;-0,1;-0,2;-0,1; 0;0,54;
12;18,27;18,52;-0,1;-0,2;-0,1; 0;0,53;
13;18,27;18,52;-0,1;-0,2;-0,1; 0;0,53;
14;18,27;18,51;-0,1;-0,2;-0,2; 0;0,56;
