sep=;
# Datei;"Log_20251203_230546.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-03 23:05:48"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,08;19,09;-0,1;-0,4;-0,3; 0;4,19;
3;18,98;19,06;-0,3;-0,2;-0,3; 0;2,04;
3;18,98;19,06;-0,3;-0,2;-0,3; 0;2,08;
4;18,98;19,05;-0,3;-0,3;-0,3; 0;2,16;
6;18,97;19,06;-0,3;-0,3;-0,3; 0;2,00;
6;18,96;19,06;-0,3;-0,3;-0,3; 0;1,97;
7;18,96;19,05;-0,3;-0,3;-0,3; 0;1,98;
8;18,97;19,05;-0,3;-0,3;-0,3; 0;2,16;
9;18,97;19,05;-0,3;-0,3;-0,3; 0;2,16;
10;18,98;19,04;-0,3;-0,3;-0,3; 0;2,54;
11;18,98;19,04;-0,2;-0,3;-0,3; 0;2,55;
12;18,98;19,04;-0,2;-0,3;-0,3; 0;2,51;
13;18,98;19,04;-0,2;-0,3;-0,3; 0;2,51;
14;18,98;19,04;-0,2;-0,3;-0,3; 0;2,51;
15;18,98;19,04;-0,2;-0,3;-0,3; 0;2,51;
16;18,98;19,04;-0,2;-0,3;-0,3; 0;2,52;
17;18,98;19,04;-0,2;-0,4;-0,3; 0;2,67;
18;18,99;19,04;-0,2;-0,4;-0,3; 0;2,88;
19;19,00;19,04;-0,2;-0,4;-0,3; 0;3,31;
20;19,00;19,04;-0,2;-0,4;-0,3; 0;3,38;
22;19,00;19,04;-0,2;-0,4;-0,3; 0;3,29;
22;19,00;19,05;-0,2;-0,4;-0,3; 0;2,98;
23;19,00;19,04;-0,2;-0,4;-0,3; 0;3,21;
24;19,00;19,04;-0,2;-0,4;-0,3; 0;3,37;
25;19,00;19,03;-0,2;-0,4;-0,3; 0;3,37;
26;19,00;19,04;-0,2;-0,4;-0,3; 0;3,26;
27;18,99;19,04;-0,2;-0,4;-0,3; 0;2,96;
28;18,99;19,04;-0,2;-0,4;-0,3; 0;2,88;
29;18,98;19,04;-0,2;-0,4;-0,3; 0;2,63;
30;18,98;19,03;-0,2;-0,3;-0,3; 0;2,75;
31;18,98;19,03;-0,2;-0,3;-0,3; 0;2,76;
33;18,98;19,03;-0,2;-0,3;-0,3; 0;2,79;
33;18,98;19,02;-0,2;-0,3;-0,3; 0;2,95;
34;18,97;19,03;-0,2;-0,3;-0,3; 0;2,65;
35;18,97;19,02;-0,2;-0,3;-0,3; 0;2,83;
36;18,97;19,02;-0,3;-0,3;-0,3; 0;2,84;
38;18,96;19,01;-0,3;-0,3;-0,3; 0;2,87;
38;18,97;19,01;-0,3;-0,3;-0,3; 0;3,04;
39;18,96;19,02;-0,3;-0,3;-0,3; 0;2,72;
40;18,96;19,02;-0,3;-0,3;-0,3; 0;2,66;
41;18,96;19,02;-0,3;-0,3;-0,3; 0;2,70;
42;18,97;19,02;-0,3;-0,3;-0,3; 0;2,73;
43;18,96;19,02;-0,3;-0,3;-0,3; 0;2,70;
44;18,96;19,02;-0,3;-0,3;-0,3; 0;2,77;
45;18,96;19,02;-0,3;-0,3;-0,3; 0;2,76;
46;18,96;19,01;-0,3;-0,3;-0,3; 0;2,76;
47;18,96;19,01;-0,3;-0,3;-0,3; 0;2,95;
49;18,96;19,01;-0,3;-0,3;-0,3; 0;3,09;
49;18,96;19,02;-0,3;-0,3;-0,3; 0;2,81;
50;18,96;19,01;-0,3;-0,3;-0,3; 0;2,88;
51;18,96;19,02;-0,3;-0,3;-0,3; 0;2,88;
52;18,96;19,01;-0,2;-0,3;-0,3; 0;2,93;
53;18,96;19,01;-0,2;-0,3;-0,3; 0;3,08;
54;18,97;19,02;-0,2;-0,3;-0,3; 0;2,97;
55;18,97;19,01;-0,2;-0,3;-0,3; 0;3,10;
56;18,97;19,01;-0,2;-0,3;-0,3; 0;3,12;
57;18,97;19,01;-0,2;-0,4;-0,3; 0;3,30;
58;18,98;19,02;-0,2;-0,4;-0,3; 0;3,32;
59;18,98;19,02;-0,2;-0,4;-0,3; 0;3,44;
60;18,98;19,02;-0,2;-0,4;-0,3; 0;3,03;
61;18,98;19,02;-0,2;-0,4;-0,3; 0;3,11;
62;18,99;19,02;-0,2;-0,4;-0,3; 0;3,45;
63;18,98;19,02;-0,2;-0,4;-0,3; 0;3,31;
65;18,98;19,01;-0,2;-0,4;-0,3; 0;3,23;
65;18,98;19,01;-0,2;-0,3;-0,3; 0;3,24;
66;18,98;19,01;-0,2;-0,3;-0,3; 0;3,56;
67;18,97;19,01;-0,2;-0,3;-0,3; 0;3,53;
68;18,97;19,01;-0,2;-0,3;-0,3; 0;3,22;
70;18,97;19,01;-0,3;-0,3;-0,3; 0;3,29;
