sep=;
# Datei;"Log_20251205_033757.csv"
# Kunde;""
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 03:37:59"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;8,47;8,95;0,8;1,3;1,1; 2;1,59;
2;8,27;8,70;0,5;1,3;0,9; 2;1,55;
3;8,28;8,73;0,5;1,2;0,9; 2;1,48;
4;8,29;8,73;0,5;1,2;0,9; 2;1,49;
5;8,29;8,73;0,5;1,2;0,9; 2;1,50;
6;8,30;8,73;0,5;1,2;0,9; 2;1,50;
8;8,30;8,72;0,5;1,2;0,9; 2;1,52;
8;8,29;8,70;0,5;1,2;0,9; 2;1,57;
9;8,27;8,69;0,5;1,2;0,9; 2;1,53;
10;8,24;8,67;0,5;1,2;0,9; 2;1,50;
11;8,24;8,67;0,5;1,3;0,9; 2;1,51;
12;8,23;8,67;0,5;1,3;0,9; 2;1,50;
13;8,21;8,64;0,5;1,3;0,9; 2;1,53;
14;8,21;8,64;0,5;1,3;0,9; 2;1,55;
15;8,21;8,63;0,5;1,3;0,9; 2;1,57;
16;8,22;8,65;0,5;1,3;0,9; 2;1,53;
17;8,23;8,67;0,5;1,2;0,9; 2;1,47;
18;8,26;8,68;0,4;1,2;0,8; 2;1,49;
19;8,27;8,70;0,4;1,2;0,8; 2;1,42;
20;8,28;8,73;0,4;1,2;0,8; 2;1,36;
21;8,29;8,72;0,4;1,1;0,8; 2;1,38;
22;8,27;8,71;0,4;1,1;0,8; 2;1,37;
23;8,26;8,70;0,4;1,1;0,8; 2;1,37;
24;8,26;8,69;0,5;1,1;0,8; 2;1,38;
25;8,25;8,69;0,5;1,1;0,8; 2;1,38;
26;8,25;8,70;0,5;1,1;0,8; 2;1,36;
27;8,26;8,70;0,5;1,1;0,8; 2;1,38;
28;8,27;8,70;0,5;1,1;0,8; 2;1,41;
29;8,27;8,70;0,5;1,1;0,8; 2;1,40;
30;8,25;8,69;0,5;1,1;0,8; 2;1,40;
31;8,24;8,66;0,5;1,1;0,8; 2;1,47;
32;8,24;8,65;0,5;1,1;0,8; 2;1,49;
33;8,27;8,66;0,5;1,1;0,8; 2;1,53;
34;8,30;8,68;0,4;1,1;0,8; 2;1,51;
35;8,33;8,72;0,4;1,1;0,8; 2;1,48;
36;8,34;8,74;0,4;1,1;0,8; 2;1,44;
37;8,34;8,74;0,4;1,1;0,8; 2;1,41;
38;8,33;8,73;0,4;1,1;0,8; 2;1,44;
39;8,29;8,69;0,4;1,1;0,8; 2;1,46;
40;8,24;8,64;0,5;1,2;0,8; 2;1,52;
41;8,21;8,60;0,5;1,2;0,8; 2;1,59;
42;8,20;8,59;0,5;1,2;0,9; 2;1,57;
43;8,21;8,61;0,5;1,2;0,9; 2;1,58;
